physical.condition_raw,merge.figure,physical.condition_main_analysis,physical.condition_sub_analysis,assigned.age,total.N,autism.N,rep.effect,SE,rep.metric,AorR
Suicide_suicidality (suicidal ideation),Suicide,Suicide_suicidality_frequency,Suicidal ideation_frequency,19.7,,10,0.5,0.1403,frequency,frequency
Suicide_suicidality (suicidal ideation),Suicide,Suicide_suicidality_frequency,Suicidal ideation_frequency,11,,22,0.364,0.098,frequency,frequency
Suicide_suicidality (suicidal ideation),Suicide,Suicide_suicidality_frequency,Suicidal ideation_frequency,10.1,,39,0.359,0.075,frequency,frequency
Suicide_suicidality (suicidal ideation),Suicide,Suicide_suicidality_frequency,Suicidal ideation_frequency,10,,166,0.469,0.0696,frequency,frequency
Suicide_suicidality (suicidal ideation),Suicide,Suicide_suicidality_frequency,Suicidal ideation_frequency,13.3,,49,0.143,0.0513,frequency,frequency
Suicide_suicidality (suicidal ideation),Suicide,Suicide_suicidality_frequency,Suicidal ideation_frequency,13.6,,55,0.164,0.0508,frequency,frequency
Suicide_suicidality (suicidal ideation),Suicide,Suicide_suicidality_frequency,Suicidal ideation_frequency,13.6,,107,0.626,0.0462,frequency,frequency
Suicide_suicidality (suicidal ideation),Suicide,Suicide_suicidality_frequency,Suicidal ideation_frequency,8,,72,0.139,0.0416,frequency,frequency
Suicide_suicidality (suicidal ideation),Suicide,Suicide_suicidality_frequency,Suicidal ideation_frequency,14.6,,101,0.168,0.0375,frequency,frequency
Suicide_suicidality (suicidal ideation),Suicide,Suicide_suicidality_frequency,Suicidal ideation_frequency,10.71,,153,0.203,0.0327,frequency,frequency
Suicide_suicidality (suicidal ideation),Suicide,Suicide_suicidality_frequency,Suicidal ideation_frequency,12,,217,0.35,0.0321,frequency,frequency
Suicide_suicidality (suicidal ideation),Suicide,Suicide_suicidality_frequency,Suicidal ideation_frequency,7.7,,178,0.096,0.0224,frequency,frequency
Suicide_suicidality (suicidal ideation),Suicide,Suicide_suicidality_frequency,Suicidal ideation_frequency,11.6,,481,0.108,0.0143,frequency,frequency
Suicide_suicidality (suicidal ideation),Suicide,Suicide_suicidality_frequency,Suicidal ideation_frequency,6.6,,791,0.109,0.011,frequency,frequency
Suicide_suicidality (suicidal ideation),Suicide,Suicide_suicidality_frequency,Suicidal ideation_frequency,12.3,,1499,0.166,0.0097,frequency,frequency
Suicide_suicidality (suicidal ideation),Suicide,Suicide_suicidality_frequency,Suicidal ideation_frequency,21.5,,102,0.48,0.0569,frequency,frequency
Suicide_suicidality (suicidal ideation),Suicide,Suicide_suicidality_frequency,Suicidal ideation_frequency,35.9,,75,0.65,0.0561,frequency,frequency
Suicide_suicidality (suicidal ideation),Suicide,Suicide_suicidality_frequency,Suicidal ideation_frequency,10.91,,223,0.27,0.0299,frequency,frequency
Suicide_suicidality (suicidal ideation),Suicide,Suicide_suicidality_frequency,Suicidal ideation_frequency,9.43,,950,0.2,0.0136,frequency,frequency
Suicide_suicidality (suicidal ideation),Suicide,Suicide_suicidality_frequency,Suicidal ideation_frequency,8.82,,205,0.17,0.026,frequency,frequency
Suicide_suicidality (suicidal ideation),Suicide,Suicide_suicidality_frequency,Suicidal ideation_frequency,26.21,,42,0.4,0.0757,frequency,frequency
Suicide_suicidality (suicidal ideation),Suicide,Suicide_suicidality_frequency,Suicidal ideation_frequency,27.71,,7,0.71,0.1707,frequency,frequency
Suicide_suicidality (suicidal ideation),Suicide,Suicide_suicidality_frequency,Suicidal ideation_frequency,31.5,,374,0.65,0.0247,frequency,frequency
Suicide_suicidality (suicidal ideation),Suicide,Suicide_suicidality_frequency,Suicidal ideation_frequency,39.71,,308,0.28,0.0256,frequency,frequency
Suicide_suicidality (suicidal ideation),Suicide,Suicide_suicidality_frequency,Suicidal ideation_frequency,40.34,,113,0.47,0.0469,frequency,frequency
Suicide_suicidality (suicidal ideation),Suicide,Suicide_suicidality_frequency,Suicidal ideation_frequency,20.4,,24,0.46,0.1017,frequency,frequency
Suicide_suicidality (suicidal ideation),Suicide,Suicide_suicidality_frequency,Suicidal ideation_frequency,20.4,,64,0.28,0.0562,frequency,frequency
Suicide_suicidality (suicidal ideation),Suicide,Suicide_suicidality_frequency,Suicidal ideation_frequency,35,,12,0.25,0.125,frequency,frequency
Suicide_suicidality (suicidal ideation),Suicide,Suicide_suicidality_frequency,Suicidal ideation_frequency,35,,36,0.31,0.0768,frequency,frequency
Suicide_suicidality (suicidal ideation),Suicide,Suicide_suicidality_frequency,Suicidal ideation_frequency,28.2,,98,0.12,0.0331,frequency,frequency
Suicide_suicidality (suicidal ideation),Suicide,Suicide_suicidality_frequency,Suicidal ideation_frequency,13.75,,20,0.1,0.0671,frequency,frequency
Suicide_suicidality (suicidal ideation),Suicide,Suicide_suicidality_frequency,Suicidal ideation_frequency,16.9,,75,0.13,0.0393,frequency,frequency
Suicide_suicidality (suicidal ideation),Suicide,Suicide_suicidality_frequency,Suicidal ideation_frequency,28.5,,74,0.7,0.0531,frequency,frequency
Suicide_suicidality (suicidal ideation),Suicide,Suicide_suicidality_frequency,Suicidal ideation_frequency,22.98,,56,0.2,0.0531,frequency,frequency
Suicide_suicidality (suicidal ideation),Suicide,Suicide_suicidality_frequency,Suicidal ideation_frequency,42.26,,102,0.29,0.0451,frequency,frequency
Suicide_suicidality (suicidal ideation),Suicide,Suicide_suicidality_frequency,Suicidal ideation_frequency,41.91,,350,0.16,0.0195,frequency,frequency
Suicide_suicidality (suicidal ideation),Suicide,Suicide_suicidality_frequency,Suicidal ideation_frequency,29.84,,19,0.32,0.1066,frequency,frequency
Suicide_suicidality (suicidal ideation),Suicide,Suicide_suicidality_frequency,Suicidal ideation_frequency,16.6,,14,0.5,0.1581,frequency,frequency
Suicide_suicidality (suicidal ideation),Suicide,Suicide_suicidality_frequency,Suicidal ideation_frequency,16.6,,14,0.21,0.1097,frequency,frequency
Suicide_suicidality (suicidal ideation),Suicide,Suicide_suicidality_frequency,Suicidal ideation_frequency,25.42,,26,0.38,0.0954,frequency,frequency
Suicide_suicidality (suicidal ideation),Suicide,Suicide_suicidality_frequency,Suicidal ideation_frequency,25.42,,48,0.4,0.0706,frequency,frequency
Suicide_suicidality (suicidal ideation),Suicide,Suicide_suicidality_frequency,Suicidal ideation_frequency,10.55,,102,0.13,0.033,frequency,frequency
Suicide_suicidality (suicidal ideation),Suicide,Suicide_suicidality_frequency,Suicidal ideation_frequency,16.42,,27,0.26,0.0843,frequency,frequency
Suicide_suicidality (suicidal ideation),Suicide,Suicide_suicidality_frequency,Suicidal ideation_frequency,17.37,,27,0.56,0.0956,frequency,frequency
Suicide_suicidality (suicidal ideation),Suicide,Suicide_suicidality_frequency,Suicidal ideation_frequency,16.99,,13,0.69,0.128,frequency,frequency
Suicide_suicidality (suicidal ideation),Suicide,Suicide_suicidality_frequency,Suicidal ideation_frequency,19.5,,172,0.78,0.0313,frequency,frequency
Suicide_suicidality (suicidal ideation),Suicide,Suicide_suicidality_frequency,Suicidal ideation_frequency,47.5,,113,0.15,0.0336,frequency,frequency
Suicide_suicidality (suicidal ideation),Suicide,Suicide_suicidality_frequency,Suicidal ideation_frequency,11.15,,93,0.33,0.0489,frequency,frequency
Suicide_suicidality (suicidal ideation),Suicide,Suicide_suicidality_frequency,Suicidal ideation_frequency,24,,39,0.31,0.0739,frequency,frequency
Suicide_suicidality (suicidal ideation),Suicide,Suicide_suicidality_frequency,Suicidal ideation_frequency,36.7,,195,0.36,0.0344,frequency,frequency
Suicide_suicidality (suicidal ideation),Suicide,Suicide_suicidality_frequency,Suicidal ideation_frequency,25.2,,76,0.02,0.0161,frequency,frequency
Suicide_suicidality (suicidal ideation),Suicide,Suicide_suicidality_frequency,Suicidal ideation_frequency,15.2,,680,0.19,0.015,frequency,frequency
Suicide_suicidality (suicidal ideation),Suicide,Suicide_suicidality_frequency,Suicidal ideation_frequency,12.1,,699,0.12,0.0123,frequency,frequency
Suicide_suicidality (suicide attempt),Suicide,Suicide_suicidality_frequency,suicide attempt_frequency,10.9,,37,0.14,0.0587,frequency,frequency
Suicide_suicidality (suicide attempt),Suicide,Suicide_suicidality_frequency,suicide attempt_frequency,13.6,,55,0.13,0.0459,frequency,frequency
Suicide_suicidality (suicide attempt),Suicide,Suicide_suicidality_frequency,suicide attempt_frequency,11.85,,34,0.03,0.0459,frequency,frequency
Suicide_suicidality (suicide attempt),Suicide,Suicide_suicidality_frequency,suicide attempt_frequency,13.2,,39,0.08,0.0459,frequency,frequency
Suicide_suicidality (suicide attempt),Suicide,Suicide_suicidality_frequency,suicide attempt_frequency,15.9,,159,0.18,0.0306,frequency,frequency
Suicide_suicidality (suicide attempt),Suicide,Suicide_suicidality_frequency,suicide attempt_frequency,17.2,,5618,0.04,0.0026,frequency,frequency
Suicide_suicidality (suicide attempt),Suicide,Suicide_suicidality_frequency,suicide attempt_frequency,14.5,,18779,0.02,0.0001,frequency,frequency
Suicide_suicidality (suicide attempt),Suicide,Suicide_suicidality_frequency,suicide attempt_frequency,17.2,,5618,0.04,0.0026,frequency,frequency
Suicide_suicidality (suicide attempt),Suicide,Suicide_suicidality_frequency,suicide attempt_frequency,11.6,,156,0.24,0.0342,frequency,frequency
Suicide_suicidality (suicide attempt),Suicide,Suicide_suicidality_frequency,suicide attempt_frequency,17.1,,94,0.42,0.0509,frequency,frequency
Suicide_suicidality (suicide attempts and behaviours),Suicide,Suicide_suicidality_frequency,suicide attempt_frequency,21.5,,102,0.01,0.0129,frequency,frequency
Suicide_suicidality (suicide attempts and behaviours),Suicide,Suicide_suicidality_frequency,suicide attempt_frequency,35.9,,75,0.29,0.0536,frequency,frequency
Suicide_suicidality (suicide attempts and behaviours),Suicide,Suicide_suicidality_frequency,suicide attempt_frequency,26.21,,42,0.14,0.054,frequency,frequency
Suicide_suicidality (suicide attempts and behaviours),Suicide,Suicide_suicidality_frequency,suicide attempt_frequency,27.71,,7,0.71,0.1707,frequency,frequency
Suicide_suicidality (suicide attempts and behaviours),Suicide,Suicide_suicidality_frequency,suicide attempt_frequency,38.89,,99,0.42,0.0497,frequency,frequency
Suicide_suicidality (suicide attempts and behaviours),Suicide,Suicide_suicidality_frequency,suicide attempt_frequency,41.52,,65,0.32,0.058,frequency,frequency
Suicide_suicidality (suicide attempts and behaviours),Suicide,Suicide_suicidality_frequency,suicide attempt_frequency,39.71,,308,0.37,0.0275,frequency,frequency
Suicide_suicidality (suicide attempts and behaviours),Suicide,Suicide_suicidality_frequency,suicide attempt_frequency,40.34,,113,0.23,0.0396,frequency,frequency
Suicide_suicidality (suicide attempts and behaviours),Suicide,Suicide_suicidality_frequency,suicide attempt_frequency,20.4,,24,0.08,0.0564,frequency,frequency
Suicide_suicidality (suicide attempts and behaviours),Suicide,Suicide_suicidality_frequency,suicide attempt_frequency,20.4,,64,0.08,0.0335,frequency,frequency
Suicide_suicidality (suicide attempts and behaviours),Suicide,Suicide_suicidality_frequency,suicide attempt_frequency,35,,12,0.42,0.1423,frequency,frequency
Suicide_suicidality (suicide attempts and behaviours),Suicide,Suicide_suicidality_frequency,suicide attempt_frequency,35,,36,0.67,0.0786,frequency,frequency
Suicide_suicidality (suicide attempts and behaviours),Suicide,Suicide_suicidality_frequency,suicide attempt_frequency,28.2,,98,0.19,0.0399,frequency,frequency
Suicide_suicidality (suicide attempts and behaviours),Suicide,Suicide_suicidality_frequency,suicide attempt_frequency,16.9,,75,0.36,0.0554,frequency,frequency
Suicide_suicidality (suicide attempts and behaviours),Suicide,Suicide_suicidality_frequency,suicide attempt_frequency,21.99,,43468,0.13,0.0024,frequency,frequency
Suicide_suicidality (suicide attempts and behaviours),Suicide,Suicide_suicidality_frequency,suicide attempt_frequency,24.13,,24595,0.08,0.0018,frequency,frequency
Suicide_suicidality (suicide attempts and behaviours),Suicide,Suicide_suicidality_frequency,suicide attempt_frequency,28.5,,74,0.28,0.0524,frequency,frequency
Suicide_suicidality (suicide attempts and behaviours),Suicide,Suicide_suicidality_frequency,suicide attempt_frequency,22.98,,56,0.14,0.0468,frequency,frequency
Suicide_suicidality (suicide attempts and behaviours),Suicide,Suicide_suicidality_frequency,suicide attempt_frequency,42.26,,102,0.28,0.0447,frequency,frequency
Suicide_suicidality (suicide attempts and behaviours),Suicide,Suicide_suicidality_frequency,suicide attempt_frequency,15.9,,159,0.18,0.0306,frequency,frequency
Suicide_suicidality (suicide attempts and behaviours),Suicide,Suicide_suicidality_frequency,suicide attempt_frequency,10.9,,37,0.16,0.0606,frequency,frequency
Suicide_suicidality (suicide attempts and behaviours),Suicide,Suicide_suicidality_frequency,suicide attempt_frequency,34.5,,56,0.36,0.0679,frequency,frequency
Suicide_suicidality (suicide attempts and behaviours),Suicide,Suicide_suicidality_frequency,suicide attempt_frequency,41.91,,350,0.37,0.0259,frequency,frequency
Suicide_suicidality (suicide attempts and behaviours),Suicide,Suicide_suicidality_frequency,suicide attempt_frequency,14.6,,101,0.23,0.0417,frequency,frequency
Suicide_suicidality (suicide attempts and behaviours),Suicide,Suicide_suicidality_frequency,suicide attempt_frequency,25.42,,26,0.15,0.0708,frequency,frequency
Suicide_suicidality (suicide attempts and behaviours),Suicide,Suicide_suicidality_frequency,suicide attempt_frequency,25.42,,48,0.17,0.0538,frequency,frequency
Suicide_suicidality (suicide attempts and behaviours),Suicide,Suicide_suicidality_frequency,suicide attempt_frequency,10.55,,102,0.01,0.0098,frequency,frequency
Suicide_suicidality (suicide attempts and behaviours),Suicide,Suicide_suicidality_frequency,suicide attempt_frequency,19.5,,172,0.51,0.0381,frequency,frequency
Suicide_suicidality (suicide attempts and behaviours),Suicide,Suicide_suicidality_frequency,suicide attempt_frequency,30.2,,70,0.24,0.0513,frequency,frequency
Suicide_suicidality (suicide attempts and behaviours),Suicide,Suicide_suicidality_frequency,suicide attempt_frequency,30.2,,70,0.24,0.0705,frequency,frequency
Suicide_suicidality (suicide death),Suicide,Suicide_suicidality_frequency,,21.5,,4695,0.003,0.0008,frequency,frequency
Suicide_suicidality (suicide death),Suicide,Suicide_suicidality_frequency,,14.5,,18779,0.001,0.0001,frequency,frequency
Suicide_suicidality (suicide plan),Suicide,Suicide_suicidality_frequency,suicide plan_frequency,21.5,,102,0.12,0.0366,frequency,frequency
Suicide_suicidality (suicide plan),Suicide,Suicide_suicidality_frequency,suicide plan_frequency,39.71,,308,0.29,0.0259,frequency,frequency
Suicide_suicidality (suicide plan),Suicide,Suicide_suicidality_frequency,suicide plan_frequency,40.34,,113,0.21,0.0385,frequency,frequency
Suicide_suicidality (suicide plan),Suicide,Suicide_suicidality_frequency,suicide plan_frequency,28.2,,98,0.02,0.0143,frequency,frequency
Suicide_suicidality (suicide plan),Suicide,Suicide_suicidality_frequency,suicide plan_frequency,16.9,,75,0.07,0.0296,frequency,frequency
Suicide_suicidality (suicide plan),Suicide,Suicide_suicidality_frequency,suicide plan_frequency,22.98,,56,0.39,0.0653,frequency,frequency
Suicide_suicidality (suicide plan),Suicide,Suicide_suicidality_frequency,suicide plan_frequency,42.26,,102,0.35,0.0473,frequency,frequency
Suicide_suicidality (suicide plan),Suicide,Suicide_suicidality_frequency,suicide plan_frequency,41.91,,350,0.4,0.0262,frequency,frequency
Suicide_suicidality (suicide plan),Suicide,Suicide_suicidality_frequency,suicide plan_frequency,25.42,,26,0.5,0.0981,frequency,frequency
Suicide_suicidality (suicide plan),Suicide,Suicide_suicidality_frequency,suicide plan_frequency,25.42,,48,0.19,0.0563,frequency,frequency
Suicide_suicidality (suicide plan),Suicide,Suicide_suicidality_frequency,suicide plan_frequency,10.55,,102,0.09,0.0281,frequency,frequency
Suicide_suicidality (suicide plan),Suicide,Suicide_suicidality_frequency,suicide plan_frequency,24,,39,0.1,0.0486,frequency,frequency
T1DM,Metabolic disease,Metabolic disease_frequency,,17.51,,1598,0.0025,0.00125,frequency,frequency
T1DM,Metabolic disease,Metabolic disease_frequency,,12.15,,5565,0.0022,0.00062,frequency,frequency
Tooth grinding and/or clenching,Dental,Dental_bruxism_frequency,,4.7,,150,0.5467,0.04065,frequency,frequency
Tooth grinding and/or clenching,Dental,Dental_bruxism_frequency,,3.75,,10,1,0.0001,frequency,frequency
Tooth grinding and/or clenching,Dental,Dental_bruxism_frequency,,15,,29,0.2414,0.07946,frequency,frequency
Tooth grinding and/or clenching,Dental,Dental_bruxism_frequency,,9.06,,100,0.38,0.04854,frequency,frequency
Tooth grinding and/or clenching,Dental,Dental_bruxism_frequency,,10.5,,187,0.3316,0.03443,frequency,frequency
Tooth grinding and/or clenching,Dental,Dental_bruxism_frequency,,12.84,,51,0.5686,0.06935,frequency,frequency
Tooth grinding and/or clenching,Dental,Dental_bruxism_frequency,,23.3,,83,0.1084,0.03413,frequency,frequency
Tooth grinding and/or clenching,Dental,Dental_bruxism_frequency,,4.9,,28,0.6071,0.0923,frequency,frequency
Tooth grinding and/or clenching,Dental,Dental_bruxism_frequency,,8.92,,73,0.589,0.05759,frequency,frequency
Tooth grinding and/or clenching,Dental,Dental_bruxism_frequency,,16.65,,22,0.5,0.1066,frequency,frequency
Tooth grinding and/or clenching,Dental,Dental_bruxism_frequency,,10,,63,0.413,0.06203,frequency,frequency
Tooth grinding and/or clenching,Dental,Dental_bruxism_frequency,,10.1,,52,0.2115,0.05663,frequency,frequency
Tooth grinding and/or clenching,Dental,Dental_bruxism_frequency,,5.53,,40,0.2,0.06325,frequency,frequency
Tooth grinding and/or clenching,Dental,Dental_bruxism_frequency,,9.5,,106,0.0472,0.02059,frequency,frequency
Tooth grinding and/or clenching,Dental,Dental_bruxism_frequency,,5.33,,58,0.1034,0.03999,frequency,frequency
Tooth grinding and/or clenching,Dental,Dental_bruxism_frequency,,10.08,,64,0.2188,0.05167,frequency,frequency
Underweight,BMI,BMI_underweight_frequency,,12.3,,36,0.333,0.0827,frequency,frequency
Underweight,BMI,BMI_underweight_frequency,,8.2,,22,0.091,0.0717,frequency,frequency
Underweight,BMI,BMI_underweight_frequency,,7.01,,40,0.2,0.0676,frequency,frequency
Underweight,BMI,BMI_underweight_frequency,,5.04,,38,0.132,0.0605,frequency,frequency
Underweight,BMI,BMI_underweight_frequency,,10.64,,14,0,0.0592,frequency,frequency
Underweight,BMI,BMI_underweight_frequency,,14.3,,33,0.061,0.0497,frequency,frequency
Underweight,BMI,BMI_underweight_frequency,,10.5,,63,0.159,0.0495,frequency,frequency
Underweight,BMI,BMI_underweight_frequency,,11.19,,41,0.073,0.0469,frequency,frequency
Underweight,BMI,BMI_underweight_frequency,,9.4,,68,0.074,0.0355,frequency,frequency
Underweight,BMI,BMI_underweight_frequency,,8.4,,69,0.072,0.0349,frequency,frequency
Underweight,BMI,BMI_underweight_frequency,,10.19,,85,0.094,0.0344,frequency,frequency
Underweight,BMI,BMI_underweight_frequency,,7.807,,105,0.114,0.0334,frequency,frequency
Underweight,BMI,BMI_underweight_frequency,,12.9,,28,0,0.0314,frequency,frequency
Underweight,BMI,BMI_underweight_frequency,,9.669,,113,0.088,0.0291,frequency,frequency
Underweight,BMI,BMI_underweight_frequency,,12.7,,32,0,0.0278,frequency,frequency
Underweight,BMI,BMI_underweight_frequency,,5.516,,86,0.047,0.026,frequency,frequency
Underweight,BMI,BMI_underweight_frequency,,6.7,,53,0.019,0.0258,frequency,frequency
Underweight,BMI,BMI_underweight_frequency,,10.7,,78,0.038,0.0255,frequency,frequency
Underweight,BMI,BMI_underweight_frequency,,6.881,,151,0.073,0.023,frequency,frequency
Underweight,BMI,BMI_underweight_frequency,,9.6,,178,0.062,0.0196,frequency,frequency
Underweight,BMI,BMI_underweight_frequency,,7.6,,208,0.058,0.0176,frequency,frequency
Underweight,BMI,BMI_underweight_frequency,,4.917,,111,0.018,0.0158,frequency,frequency
Underweight,BMI,BMI_underweight_frequency,,5.37,,362,0.069,0.014,frequency,frequency
Underweight,BMI,BMI_underweight_frequency,,5.1,,429,0.068,0.0128,frequency,frequency
Underweight,BMI,BMI_underweight_frequency,,3.89,,273,0.037,0.0122,frequency,frequency
Underweight,BMI,BMI_underweight_frequency,,4.494,,500,0.07,0.012,frequency,frequency
Underweight,BMI,BMI_underweight_frequency,,4.942,,668,0.045,0.0082,frequency,frequency
Underweight,BMI,BMI_underweight_ratio,,6.7,111,53,3.28,1.6211,RR,ratio
Underweight,BMI,BMI_underweight_ratio,,5.516,142,86,0.868,0.7441,RR,ratio
Underweight,BMI,BMI_underweight_ratio,,5.04,185,38,0.921,0.4628,RR,ratio
Underweight,BMI,BMI_underweight_ratio,,11.19,246,41,0.556,0.5838,RR,ratio
Underweight,BMI,BMI_underweight_ratio,,5.37,921,362,1.678,0.2809,RR,ratio
Underweight,BMI,BMI_underweight_ratio,,8.4,88,69,0.344,0.6195,RR,ratio
Underweight,BMI,BMI_underweight_ratio,,4.942,1552,668,0.709,0.2205,RR,ratio
Underweight,BMI,BMI_underweight_ratio,,7.01,153,40,2.26,0.4373,RR,ratio
Underweight,BMI,BMI_underweight_ratio,,7.807,600,105,2.829,0.349,RR,ratio
Underweight,BMI,BMI_underweight_ratio,,12.3,72,36,12,1.0138,RR,ratio
Underweight,BMI,BMI_underweight_ratio,,8.2,44,22,2,1.1874,RR,ratio
Vision problem,Sensation,Vision_vision problem_frequency,,9.2,,728,0.141,0.0129,frequency,frequency
Vision problem,Sensation,Vision_vision problem_frequency,,7.5,,17348,0.0345,0.00139,frequency,frequency
Vision problem,Sensation,Vision_vision problem_frequency,,20,,7715,0.0377,0.00217,frequency,frequency
Vision_refractive errors,Sensation,Vision_vision problem_frequency,,11,,44,0.2727,0.06714,frequency,frequency
Vision_refractive errors,Sensation,Vision_vision problem_frequency,,10.28,,18,0.3333,0.11111,frequency,frequency
Vision_refractive errors,Sensation,Vision_vision problem_frequency,,6.5,,154,0.2857,0.0364,frequency,frequency
Vision_refractive errors,Sensation,Vision_vision problem_frequency,,5,,324,0.2253,0.02321,frequency,frequency
Vision_refractive errors,Sensation,Vision_vision problem_frequency,,8.92,,187,0.2299,0.03077,frequency,frequency
Vision_refractive errors,Sensation,Vision_vision problem_frequency,,13,,51,0.3137,0.06497,frequency,frequency
Vision_refractive errors,Sensation,Vision_vision problem_frequency,,12.08,,257,0.1167,0.02003,frequency,frequency
Vision_strabismus,Sensation,Vision_vision problem_frequency,,11,,44,0.4091,0.07412,frequency,frequency
Vision_strabismus,Sensation,Vision_vision problem_frequency,,6.5,,154,0.2078,0.03269,frequency,frequency
Vision_strabismus,Sensation,Vision_vision problem_frequency,,5,,324,0.0864,0.01561,frequency,frequency
Vision_strabismus,Sensation,Vision_vision problem_frequency,,13,,51,0.098,0.04164,frequency,frequency
Vision_strabismus,Sensation,Vision_vision problem_frequency,,12.08,,257,0.0117,0.0067,frequency,frequency
Visual impairment,Sensation,Vision_vision problem_frequency,,10.5,,43,0.4146,0.07513,frequency,frequency
Visual impairment,Sensation,Vision_vision problem_frequency,,10,,13,0.4615,0.13826,frequency,frequency
Visual impairment,Sensation,Vision_vision problem_frequency,,6.5,,24,0.1667,0.07608,frequency,frequency
Visual impairment,Sensation,Vision_vision problem_frequency,,7.5,,17,0.1765,0.09247,frequency,frequency
Visual impairment,Sensation,Vision_vision problem_frequency,,10,,38,0.15,0.05792,frequency,frequency
Visual impairment,Sensation,Vision_vision problem_frequency,,9.5,,42,0.3333,0.07274,frequency,frequency
Visual impairment,Sensation,Vision_vision problem_frequency,,8,,278,0.0687,0.01517,frequency,frequency
Visual impairment,Sensation,Vision_vision problem_frequency,,4,,82,0.3133,0.05122,frequency,frequency
Visual impairment,Sensation,Vision_vision problem_frequency,,8,,5590,0.0798,0.00362,frequency,frequency
